"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Wed Mar 06 12:03:09 GMT 2024","Wed Mar 06 12:03:09 GMT 2024","0","tests","test_str","","","","test_should_fail_str",""
"skipped","Wed Mar 06 12:03:09 GMT 2024","Wed Mar 06 12:03:09 GMT 2024","0","tests","test_numbers","","","","test_should_fail_add",""
"passed","Wed Mar 06 12:03:09 GMT 2024","Wed Mar 06 12:03:09 GMT 2024","0","tests","test_numbers","","","","test_should_pass_add",""
"passed","Wed Mar 06 12:03:09 GMT 2024","Wed Mar 06 12:03:09 GMT 2024","1","tests","test_str","","","","test_should_pass_str",""
"passed","Wed Mar 06 12:03:09 GMT 2024","Wed Mar 06 12:03:09 GMT 2024","1","tests","test_numbers","","","","test_should_pass_multiply",""
"passed","Wed Mar 06 12:03:09 GMT 2024","Wed Mar 06 12:03:09 GMT 2024","0","tests","test_numbers","","","","test_should_pass_minus",""
