"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jun 02 16:10:35 GMT 2023","Fri Jun 02 16:10:35 GMT 2023","1","tests","test_numbers","","","","test_should_pass_multiply",""
"skipped","Fri Jun 02 16:10:35 GMT 2023","Fri Jun 02 16:10:35 GMT 2023","0","tests","test_str","","","","test_should_fail_str",""
"passed","Fri Jun 02 16:10:35 GMT 2023","Fri Jun 02 16:10:35 GMT 2023","0","tests","test_numbers","","","","test_should_pass_add",""
"passed","Fri Jun 02 16:10:35 GMT 2023","Fri Jun 02 16:10:35 GMT 2023","0","tests","test_str","","","","test_should_pass_str",""
"passed","Fri Jun 02 16:10:35 GMT 2023","Fri Jun 02 16:10:35 GMT 2023","1","tests","test_numbers","","","","test_should_pass_minus",""
"skipped","Fri Jun 02 16:10:35 GMT 2023","Fri Jun 02 16:10:35 GMT 2023","0","tests","test_numbers","","","","test_should_fail_add",""
