"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 05 13:08:15 GMT 2023","Mon Jun 05 13:08:15 GMT 2023","0","tests","test_numbers","","","","test_should_pass_multiply",""
"passed","Mon Jun 05 13:08:15 GMT 2023","Mon Jun 05 13:08:15 GMT 2023","0","tests","test_str","","","","test_should_pass_str",""
"passed","Mon Jun 05 13:08:15 GMT 2023","Mon Jun 05 13:08:15 GMT 2023","0","tests","test_numbers","","","","test_should_pass_minus",""
"passed","Mon Jun 05 13:08:15 GMT 2023","Mon Jun 05 13:08:15 GMT 2023","0","tests","test_numbers","","","","test_should_pass_add",""
"skipped","Mon Jun 05 13:08:15 GMT 2023","Mon Jun 05 13:08:15 GMT 2023","0","tests","test_numbers","","","","test_should_fail_add",""
"skipped","Mon Jun 05 13:08:15 GMT 2023","Mon Jun 05 13:08:15 GMT 2023","0","tests","test_str","","","","test_should_fail_str",""
